FIELD_1,FIELD_2,FIELD_3,FIELD_4,TAR_WI.TIF,SLOPE,CURVATURE,PLANCURVAT,PROFILECUR,TAR_CATCHA,ASPECT
2,800,930,52.90000000,7.36173058,0.07567734,0.00199982,-0.00111329,0.00311310,129.17597961,3.99231791
2,800,920,50.40000000,7.08303976,0.08554565,0.00160034,-0.00054296,0.00214330,112.77230072,4.15997028
2,800,910,47.50000000,7.08951283,0.08023883,0.00000031,-0.00121046,0.00121076,117.53849792,4.34342813
2,800,900,47.60000000,7.32329845,0.06497774,-0.00079926,-0.00266974,0.00187049,125.30155182,4.66626978
2,820,890,46.50000000,7.28695440,0.03327426,0.00479950,0.00058461,0.00421489,53.48244476,2.14213657
2,820,900,47.50000000,7.17613745,0.03251538,0.00399994,0.00189984,0.00210010,46.94786072,2.35617781
2,820,910,46.50000000,6.87831545,0.03892922,0.00599976,0.00416494,0.00183482,44.35214615,2.41068339
2,820,920,42.70000000,6.80387449,0.04576088,0.00920013,0.00458724,0.00461290,42.95981979,2.12244797
2,820,930,45.60000000,6.91098928,0.05407659,0.00799988,0.00202812,0.00597175,52.62032700,1.77543974
2,820,940,46.20000000,7.09502363,0.06914948,0.00520020,-0.00048989,0.00569008,92.34674835,1.65754282
2,820,950,47.00000000,7.32067728,0.08661559,0.00159912,-0.00130341,0.00290253,154.92260742,1.82695019
2,820,960,48.50000000,7.38391304,0.10473426,-0.00079956,-0.00134458,0.00054502,197.69158936,2.05571532
2,820,970,45.30000000,7.36653566,0.11845891,-0.00120026,-0.00123739,0.00003713,216.36636353,2.23110247
2,820,980,49.50000000,7.34074068,0.12311981,0.00039978,-0.00070687,0.00110665,218.18206787,2.35048342
2,840,1030,45.80000000,8.47368813,0.05161641,0.00199982,-0.00070986,0.00270967,213.65113831,2.88722968
2,840,1020,45.70000000,7.97894335,0.07772759,0.00319977,-0.00047279,0.00367256,263.33569336,2.86858511
2,840,1010,54.50000000,7.91668272,0.10374632,0.00119965,-0.00129547,0.00249512,334.04611206,2.85933447
2,840,1000,45.00000000,8.06076527,0.11804434,-0.00199982,-0.00254682,0.00054700,431.86364746,2.83317351
2,840,990,48.30000000,8.31139183,0.11756185,-0.00360016,-0.00300963,-0.00059053,552.87139893,2.76894951
2,840,980,48.20000000,8.51424599,0.11488623,-0.00320007,-0.00272439,-0.00047569,663.62841797,2.69344521
2,840,970,47.70000000,8.69491386,0.10886139,-0.00520050,-0.00377425,-0.00142625,758.44683838,2.57136035
2,840,960,47.00000000,8.76255322,0.09876356,-0.00559967,-0.00439407,-0.00120560,746.03405762,2.31335998
2,840,950,48.30000000,8.56167316,0.09649852,-0.00559937,-0.00388934,-0.00171002,542.26983643,1.91868520
2,840,940,49.10000000,7.97347689,0.10696792,-0.00319977,-0.00147282,-0.00172695,258.76159668,1.65470755
2,840,930,44.10000000,7.34688377,0.11942938,-0.00240021,-0.00080017,-0.00160004,155.66940308,1.57079637
2,840,920,45.00000000,6.94414759,0.12041453,0.00040009,0.00000000,0.00040009,129.43223572,1.57079637
2,840,910,45.60000000,6.86542463,0.11254065,0.00119995,0.00004639,0.00115356,125.31265259,1.58849728
