"","Time","X","Y","SM"
"4568",11,800,940,39.1
"4569",11,800,930,39.1
"4570",11,800,920,38.5
"4571",11,800,910,37.1
"4572",11,800,900,36
"4573",11,820,890,32.8
"4574",11,820,900,31.4
"4575",11,820,910,34.5
"4576",11,820,920,32.3
"4577",11,820,930,32.4
"4578",11,820,940,30.9
"4579",11,820,950,35.5
"4580",11,820,960,37.5
"4581",11,820,970,38.8
"4582",11,820,980,38.2
"4583",11,820,990,36.6
"4584",11,840,1040,39.1
"4585",11,840,1030,38
"4586",11,840,1020,38.8
"4587",11,840,1010,39.4
"4588",11,840,1000,38.2
"4589",11,840,990,38.5
"4590",11,840,980,38.9
"4591",11,840,970,38.5
"4592",11,840,960,38.7
"4593",11,840,950,38.2
"4594",11,840,940,38.7
"4595",11,840,930,35.8
"4596",11,840,920,36
"4597",11,840,910,36.1
"4598",11,840,900,35.9
"4599",11,840,890,33.1
"4600",11,840,880,35.2
"4601",11,860,870,36.5
"4602",11,860,880,38.8
"4603",11,860,890,38.9
"4604",11,860,900,36.9
"4605",11,860,910,41.5
"4606",11,860,920,40.3
"4607",11,860,930,43
"4608",11,860,940,45.6
"4609",11,860,950,45.8
"4610",11,860,960,47
"4611",11,860,970,41.1
"4612",11,860,980,41.3
"4613",11,860,990,46.7
"4614",11,860,1000,45.2
"4615",11,860,1010,39.9
"4616",11,860,1020,38.3
"4617",11,860,1030,39.6
"4618",11,860,1040,45.4
"4619",11,860,1050,38.9
"4620",11,860,1060,34.7
"4621",11,880,1060,21.3
"4622",11,880,1050,34.5
"4623",11,880,1040,39
"4624",11,880,1030,36.8
"4625",11,880,1020,37.8
"4626",11,880,1010,36.2
"4627",11,880,1000,38.8
"4628",11,880,990,40.3
"4629",11,880,980,38.4
"4630",11,880,970,39.2
"4631",11,880,960,38.5
"4632",11,880,950,37.7
"4633",11,880,940,38
"4634",11,880,930,41.8
"4635",11,880,920,42.9
"4636",11,880,910,42
"4637",11,880,900,40.1
"4638",11,880,890,36.1
"4639",11,880,880,36.5
"4640",11,880,870,36.7
"4641",11,880,860,35.2
"4642",11,900,860,36.2
"4643",11,900,870,37.9
"4644",11,900,880,41.7
"4645",11,900,890,46.4
"4646",11,900,900,45.3
"4647",11,900,910,48.1
"4648",11,900,920,42.3
"4649",11,900,930,41.9
"4650",11,900,940,41.9
"4651",11,900,950,40.4
"4652",11,900,960,41.8
"4653",11,900,970,39.7
"4654",11,900,980,38.3
"4655",11,900,990,41
"4656",11,900,1000,39.9
"4657",11,900,1010,39.6
"4658",11,900,1020,38.5
"4659",11,900,1030,39.1
"4660",11,900,1040,35.6
"4661",11,900,1050,31.5
"4662",11,920,1050,14.3
"4663",11,920,1040,32.1
"4664",11,920,1030,39.2
"4665",11,920,1020,44.2
"4666",11,920,1010,43.1
"4667",11,920,1000,38.8
"4668",11,920,990,45.4
"4669",11,920,980,45.7
"4670",11,920,970,40.5
"4671",11,920,960,40.1
"4672",11,920,950,37.4
"4673",11,920,940,40.7
"4674",11,920,930,41
"4675",11,920,920,39.6
"4676",11,920,910,41
"4677",11,920,900,44.4
"4678",11,920,890,46.8
"4679",11,920,880,44.6
"4680",11,920,870,48.3
"4681",11,920,860,43.2
"4682",11,920,850,45.4
"4683",11,940,900,45.5
"4684",11,940,910,46.6
"4685",11,940,920,45.1
"4686",11,940,930,44.2
"4687",11,940,940,40.8
"4688",11,940,950,42.4
"4689",11,940,960,39.4
"4690",11,940,970,39.5
"4691",11,940,980,39.3
"4692",11,940,990,38.7
"4693",11,940,1000,37.3
"4694",11,940,1010,41
"4695",11,940,1020,35.7
"4696",11,940,1030,34.6
"4697",11,960,1030,35.6
"4698",11,960,1020,36.3
"4699",11,960,1010,38.6
"4700",11,960,1000,39.1
"4701",11,960,990,39
"4702",11,960,980,39.2
"4703",11,960,970,41.7
"4704",11,960,960,38.2
"4705",11,960,950,38.5
"4706",11,980,1000,39.5
"4707",11,980,1010,39.3
"4708",11,980,1020,36.9
"4709",11,940,840,49
"4710",11,940,850,46.5
"4711",11,940,860,39.9
"4712",11,940,870,38.5
"4713",11,940,880,37.4
"4714",11,940,890,39
"4715",11,960,940,39.1
"4716",11,960,930,39.4
"4717",11,960,920,39.1
"4718",11,960,910,38.5
"4719",11,960,900,38.7
"4720",11,960,890,38.1
"4721",11,960,880,37.4
"4722",11,960,870,38.7
"4723",11,960,860,39
"4724",11,960,850,45.5
"4725",11,960,840,47.3
"4726",11,980,840,39.3
"4727",11,980,850,49.2
"4728",11,980,860,42.5
"4729",11,980,870,45.2
"4730",11,980,880,37.3
"4731",11,980,890,37.7
"4732",11,980,900,38.2
"4733",11,980,910,37.8
"4734",11,980,920,37.6
"4735",11,980,930,39.6
"4736",11,980,940,38.5
"4737",11,980,950,38.6
"4738",11,980,960,40.1
"4739",11,980,970,38.6
"4740",11,980,980,38.3
"4741",11,980,990,39.4
"4742",11,1000,1020,36.8
"4743",11,1000,1010,35.3
"4744",11,1000,1000,37.3
"4745",11,1000,990,37
"4746",11,1000,980,36.8
"4747",11,1000,970,38.9
"4748",11,1000,960,38.2
"4749",11,1000,950,36.9
"4750",11,1000,940,38.4
"4751",11,1000,930,41
"4752",11,1000,920,38.7
"4753",11,1000,910,37
"4754",11,1000,900,38
"4755",11,1000,890,36
"4756",11,1000,880,36.5
"4757",11,1000,870,45.8
"4758",11,1000,860,46.9
"4759",11,1000,850,37.9
"4760",11,1000,840,38.2
"4761",11,1020,840,32.8
"4762",11,1020,850,34.7
"4763",11,1020,860,34.1
"4764",11,1020,870,42
"4765",11,1020,880,45
"4766",11,1020,890,45.2
"4767",11,1020,900,37.8
"4768",11,1020,910,37.8
"4769",11,1020,920,37.7
"4770",11,1020,930,38.2
"4771",11,1020,940,37.7
"4772",11,1020,950,37.3
"4773",11,1020,960,38.4
"4774",11,1020,970,35.7
"4775",11,1020,980,38.1
"4776",11,1020,990,39.2
"4777",11,1020,1000,39.2
"4778",11,1020,1010,36.6
"4779",11,1020,1020,30.5
"4780",11,1040,1020,32.8
"4781",11,1040,1010,34.7
"4782",11,1040,1000,38
"4783",11,1040,990,34.6
"4784",11,1040,980,39.8
"4785",11,1040,970,37.8
"4786",11,1040,960,42.4
"4787",11,1040,950,40.4
"4788",11,1040,940,38
"4789",11,1040,930,37.6
"4790",11,1040,920,38.2
"4791",11,1040,910,39.4
"4792",11,1040,900,42
"4793",11,1040,890,46.3
"4794",11,1040,880,45
"4795",11,1040,870,36.6
"4796",11,1040,860,35
