"Id","X-coord","Y-coord"
1,2523558.66000,5596625.39000
2,2523616.48000,5596628.25000
3,2523677.33000,5596624.53000
4,2523379.85000,5596565.82000
5,2523439.54000,5596563.97000
6,2523499.87000,5596566.49000
7,2523559.91000,5596566.53000
8,2523618.67000,5596567.16000
9,2523679.35000,5596564.91000
10,2523739.81000,5596567.17000
11,2523800.82000,5596565.97000
12,2523379.32000,5596505.44000
13,2523440.41000,5596504.24000
14,2523502.18000,5596511.83000
15,2523561.64000,5596505.25000
16,2523619.10000,5596506.42000
17,2523679.75000,5596507.10000
18,2523739.51000,5596506.17000
19,2523799.95000,5596505.11000
20,2523860.43000,5596506.76000
45,2523913.90000,5596359.63000
22,2523379.99000,5596444.54000
23,2523441.18000,5596447.49000
24,2523497.86000,5596445.55000
25,2523561.67000,5596446.13000
26,2523619.16000,5596446.63000
27,2523678.77000,5596444.50000
28,2523743.65000,5596449.05000
29,2523799.40000,5596448.26000
30,2523859.07000,5596446.58000
31,2523918.74000,5596446.41000
32,2523979.33000,5596446.89000
33,2523375.29000,5596385.91000
34,2523439.22000,5596384.56000
35,2523501.73000,5596385.98000
36,2523560.93000,5596387.35000
37,2523616.64000,5596385.73000
38,2523680.29000,5596385.12000
39,2523739.56000,5596387.71000
40,2523800.66000,5596385.82000
41,2523857.02000,5596385.07000
42,2523919.49000,5596384.78000
43,2523980.20000,5596386.53000
44,2524035.80000,5596386.21000
21,2523861.15000,5596358.46000
46,2523561.93000,5596327.23000
47,2523620.93000,5596327.49000
48,2523683.56000,5596327.95000
49,2523737.08000,5596324.84000
50,2523799.09000,5596321.83000
51,2523448.94000,5596602.51000
52,2523495.37000,5596583.74000
53,2523554.73000,5596609.85000
54,2523570.91000,5596589.58000
55,2523669.71000,5596611.94000
56,2523681.36000,5596597.88000
57,2523733.57000,5596595.07000
58,2523781.57000,5596572.26000
59,2523396.00000,5596519.74000
60,2523484.19000,5596530.70000
61,2523543.05000,5596549.45000
62,2523563.75000,5596532.02000
63,2523648.06000,5596564.93000
64,2523689.13000,5596505.89000
65,2523694.54000,5596556.42000
66,2523747.59000,5596528.78000
67,2523838.81000,5596522.56000
68,2523317.88000,5596446.17000
69,2523323.38000,5596480.73000
70,2523435.97000,5596477.47000
71,2523498.75000,5596487.47000
72,2523502.79000,5596494.94000
73,2523571.80000,5596467.10000
74,2523634.39000,5596476.65000
75,2523672.76000,5596463.62000
76,2523705.75000,5596508.25000
77,2523718.60000,5596447.06000
78,2523784.37000,5596497.63000
79,2523790.62000,5596462.00000
80,2523810.88000,5596493.99000
81,2523859.20000,5596490.99000
82,2523322.56000,5596401.98000
83,2523326.52000,5596412.59000
84,2523434.52000,5596415.28000
85,2523458.82000,5596449.16000
86,2523553.59000,5596427.82000
87,2523567.58000,5596438.43000
88,2523643.77000,5596442.89000
89,2523661.08000,5596400.14000
90,2523682.41000,5596435.78000
91,2523703.92000,5596456.17000
92,2523742.95000,5596416.70000
93,2523766.18000,5596434.64000
94,2523839.12000,5596431.06000
95,2523877.45000,5596430.49000
96,2523956.23000,5596427.97000
97,2524024.56000,5596403.90000
98,2524091.17000,5596379.07000
99,2523309.37000,5596369.71000
100,2523336.78000,5596378.29000
101,2523370.20000,5596331.05000
102,2523439.55000,5596368.09000
103,2523455.93000,5596332.62000
104,2523477.10000,5596371.85000
105,2523497.52000,5596337.66000
106,2523525.13000,5596361.23000
107,2523579.37000,5596356.30000
108,2523648.05000,5596350.96000
109,2523687.49000,5596357.88000
110,2523752.44000,5596384.18000
111,2523830.74000,5596366.61000
112,2523863.63000,5596350.89000
113,2523871.59000,5596377.24000
114,2523904.68000,5596358.74000
115,2523938.04000,5596365.32000
116,2523978.71000,5596332.86000
117,2524012.65000,5596364.91000
118,2524042.94000,5596340.99000
119,2524099.38000,5596365.77000
120,2524096.01000,5596323.28000
121,2523483.46000,5596301.56000
122,2523559.48000,5596270.59000
123,2523618.31000,5596263.95000
124,2523625.18000,5596260.84000
125,2523633.03000,5596320.24000
126,2523694.61000,5596256.63000
127,2523706.79000,5596295.10000
128,2523693.64000,5596327.73000
129,2523748.93000,5596285.73000
130,2523806.31000,5596316.18000
131,2523799.25000,5596280.89000
132,2523866.30000,5596284.03000
133,2523866.48000,5596265.73000
134,2523921.57000,5596244.33000
135,2523981.25000,5596287.32000
136,2523990.22000,5596277.53000
137,2524049.36582,5596314.82624
138,2524050.45000,5596276.18000
139,2524050.69000,5596306.12000
140,2523657.30000,5596242.87000
141,2523639.87000,5596219.89000
142,2523692.92000,5596212.57000
143,2523705.54000,5596226.85000
144,2523747.84000,5596204.56000
145,2523795.70000,5596238.70000
146,2523816.54000,5596210.82000
147,2523936.36000,5596237.75000
148,2523876.30000,5596213.96000
149,2523913.52000,5596218.86000
150,2523698.50000,5596260.55000
