FIELD_1,ID,TIMESTAMPT,DAILY_MEAN,X.COORD,Y.COORD,WUEST_ASPE,WUEST_MCUR,WUEST_CARE,WUEST_PLCU,WUEST_PRCU,WUEST_SLOP,WUEST_MOD.
542,1,2011-01-03,45.65200000,2523558.66000000,5596625.39000000,1.68169940,0.00076904,666.02539063,-0.00082426,0.00159330,0.12274513,666.02539063
2063,1,2011-01-03,28.25568421,2523558.66000000,5596625.39000000,1.68169940,0.00076904,666.02539063,-0.00082426,0.00159330,0.12274513,666.02539063
3636,2,2011-01-03,41.36783673,2523616.48000000,5596628.25000000,1.72290564,0.00333740,924.29382324,0.00037851,0.00295890,0.10785516,924.29382324
4784,3,2011-01-03,71.22501068,2523677.33000000,5596624.53000000,1.19064617,0.00337158,2417.81909180,0.00060708,0.00276450,0.04134532,12955.28222656
6234,4,2011-01-03,41.70792079,2523379.85000000,5596565.82000000,1.48089576,-0.00200928,890.38665771,-0.00054942,-0.00145986,0.05162149,857.01983643
8011,6,2011-01-03,33.13326733,2523499.87000000,5596566.49000000,1.76837921,-0.00331299,875.19213867,-0.00374417,0.00043119,0.10821394,875.19213867
9445,7,2011-01-03,34.76727273,2523559.91000000,5596566.53000000,1.72062480,-0.00670654,898.33258057,-0.00010442,-0.00660212,0.08500835,6338.31005859
10946,8,2011-01-03,52.44908041,2523618.67000000,5596567.16000000,1.65364015,0.00366699,859.31164551,0.00476275,-0.00109576,0.06298078,4007.94384766
12460,9,2011-01-03,70.31317308,2523679.35000000,5596564.91000000,0.70251828,0.00824219,702.75866699,0.00473163,0.00351056,0.03564391,10422.08496094
13980,10,2011-01-03,49.66583663,2523739.81000000,5596567.17000000,5.42471552,0.01525635,358.32852173,0.00572396,0.00953239,0.08087083,791.66308594
14982,11,2011-01-03,48.83266667,2523800.82000000,5596565.97000000,5.55819607,0.01445068,1061.56140137,0.00572832,0.00872236,0.09840472,1061.56140137
16307,12,2011-01-03,39.43924731,2523379.32000000,5596505.44000000,2.00019026,-0.00216797,515.58331299,-0.00170592,-0.00046205,0.05581367,515.58331299
17897,13,2011-01-03,49.59732366,2523440.41000000,5596504.24000000,1.91739357,-0.00467773,820.05279541,-0.00229937,-0.00237837,0.10065347,820.05279541
19439,14,2011-01-03,55.85200000,2523502.18000000,5596511.83000000,1.78214550,-0.00288818,876.46160889,-0.00126548,-0.00162270,0.10623154,963.83587646
21016,15,2011-01-03,44.83637255,2523561.64000000,5596505.25000000,0.17795537,-0.01111572,3035.84692383,-0.00133188,-0.00978384,0.07149230,22011.96875000
22611,16,2011-01-03,49.65480000,2523619.10000000,5596506.42000000,0.30852732,-0.00262451,335.32446289,0.00262466,-0.00524917,0.10601106,335.32446289
24181,17,2011-01-03,56.31064815,2523679.75000000,5596507.10000000,0.70095783,-0.01415772,2965.21533203,-0.00682338,-0.00733433,0.05209697,47898.94140625
